date_,rrc_id,branch,branch_id,category_4_id,product_count_tp
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Томск Технопоинт на Нахимова,28744071-f595-11ee-9196-0050569d0f06,1a622e90-340b-11e4-9f9e-00155d031202,19
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,"Новосиб Технопоинт ТЦ ""Юпитер""",f7262767-5f9a-11ef-91ee-0050569d0e82,8cbfee85-df2e-11ed-90d3-00155d8ed20c,8
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Москва ТЦ АрмадаХоум ТП,1c5524ad-6851-11ee-90e9-00155d32db05,d6899605-4a9d-11e8-9dc5-00155d03330d,161
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Новокузнецк Технопоинт,eec45c59-5e88-41cd-9868-f753d5eb5a90,6f8f6016-b973-11ed-90ab-00155d8ed20c,1
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Юрга Технопоинт,f687c71c-da08-11ee-917a-0050569d0f06,d0db7c45-71c0-11e2-b24e-00155d030b1f,134
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Кемерово Технопоинт на Терешковой,39224fd2-8f90-11ef-9223-0050569d0f06,f9a33299-3871-11ec-8f19-00155d8ed20b,11
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,"Новосиб Технопоинт ТЦ ""Юпитер""",f7262767-5f9a-11ef-91ee-0050569d0e82,d79d9d1a-8ef3-11e4-88cf-00155d03361b,8
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Томск Технопоинт на Нахимова,28744071-f595-11ee-9196-0050569d0f06,589c9aed-22dc-11ef-9218-0050569d5825,21
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Белово Технопоинт,0ac279cc-3757-11ef-91d4-0050569d0f06,0ce9fce8-64f1-11ef-9259-0050569d9cb8,4
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Новокузнецк Технопоинт,eec45c59-5e88-41cd-9868-f753d5eb5a90,fd56001f-168a-11ec-8eed-00155d8ed20c,2
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Москва ТЦ АрмадаХоум ТП,1c5524ad-6851-11ee-90e9-00155d32db05,343950ee-bb56-11ee-91ac-00155d8ed20c,11
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Москва ТЦ АрмадаХоум ТП,1c5524ad-6851-11ee-90e9-00155d32db05,7ad16790-4a90-11e8-9dc5-00155d03330d,65
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Москва ТЦ АрмадаХоум ТП,1c5524ad-6851-11ee-90e9-00155d32db05,d79d9d1f-8ef3-11e4-88cf-00155d03361b,33
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Кемерово Технопоинт ТЦ Проспект,ccad06d7-4ef8-11ef-91ea-0050569d0f06,faebf84c-1131-11ec-8ee4-00155d8ed20c,2
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Новокузнецк Технопоинт,eec45c59-5e88-41cd-9868-f753d5eb5a90,591835f6-7267-11e7-a110-00155d03330d,317
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Подольск Технопоинт,3c472a73-e9fe-11ef-9256-0050569d54e1,18601157-d5a1-11e7-a776-00155d03330d,1
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Томск Технопоинт,e1c05e9c-b480-48e5-8b18-86561b9e47a5,ff82f0d1-1976-11ee-9108-00155d8ed20c,7
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Кемерово Технопоинт ТЦ Проспект,ccad06d7-4ef8-11ef-91ea-0050569d0f06,d3fd70e9-8eee-11e4-88cf-00155d03361b,1
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Белово Технопоинт,0ac279cc-3757-11ef-91d4-0050569d0f06,f5be1c65-d896-11e2-9b85-00155d030b1f,23
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Подольск Технопоинт,3c472a73-e9fe-11ef-9256-0050569d54e1,10202d4a-2c0d-11e7-ac91-00155d03330d,22
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Ленинск-Кузнецк Технопоинт,637587e4-6432-11ef-91f2-0050569d0e82,760ff9b2-f015-11e2-80d0-00155d030b1f,20
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Юрга Технопоинт,f687c71c-da08-11ee-917a-0050569d0f06,4565e446-94c7-11e8-9547-00155d03330d,123
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Ленинск-Кузнецк Технопоинт,637587e4-6432-11ef-91f2-0050569d0e82,1e6b07d8-f02d-11e2-80d0-00155d030b1f,16
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Юрга Технопоинт,f687c71c-da08-11ee-917a-0050569d0f06,f5be1c69-d896-11e2-9b85-00155d030b1f,28
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Москва ТЦ АрмадаХоум ТП,1c5524ad-6851-11ee-90e9-00155d32db05,3a6b22be-72ab-11e7-a110-00155d03330d,11
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Новосиб Технопоинт ТРЦ Калейдоскоп,fcfd4389-e50a-11ee-9184-0050569d0f06,b1098313-365a-11e5-a8e5-00155d03361b,29
2025-05-27,60a4be06-4c74-11e9-a206-00155d03332b,Подольск Технопоинт,3c472a73-e9fe-11ef-9256-0050569d54e1,81f2a3d8-e3e6-11ed-90d6-00155d8ed20b,6
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Юрга Технопоинт,f687c71c-da08-11ee-917a-0050569d0f06,d6899605-4a9d-11e8-9dc5-00155d03330d,60
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Новосиб Технопоинт ТЦ Калининский,9e6202fa-fa47-11ef-9286-0050569d0f06,fd721060-70e6-11e2-b24e-00155d030b1f,16
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Томск Технопоинт на Нахимова,28744071-f595-11ee-9196-0050569d0f06,edb82c4c-3fc0-11ed-9027-00155d8ed20b,3
2025-05-27,d1053f78-128b-44ff-8a6b-4b2cbd0a1a15,Кемерово Технопоинт на Терешковой,39224fd2-8f90-11ef-9223-0050569d0f06,9ebc6868-72a2-11e7-a110-00155d03330d,4
